grouping,identifier,percentage,week,YMD
VOC,Alpha,0.001,2020-04-05,2020-04-05
VOC,Alpha,0.001,2020-04-19,2020-04-19
VOC,Alpha,0.004,2020-05-10,2020-05-10
VOC,Alpha,0.006,2020-05-17,2020-05-17
VOC,Alpha,0.002,2020-05-31,2020-05-31
VOC,Alpha,0.001,2020-11-01,2020-11-01
VOC,Alpha,0.001,2020-11-08,2020-11-08
VOC,Alpha,0.003,2020-11-29,2020-11-29
VOC,Alpha,0.005,2020-12-13,2020-12-13
VOC,Alpha,0.006,2020-12-20,2020-12-20
VOC,Alpha,0.014,2020-12-27,2020-12-27
VOC,Alpha,0.018000000000000002,2021-01-03,2021-01-03
VOC,Alpha,0.030000000000000002,2021-01-10,2021-01-10
VOC,Alpha,0.06,2021-01-17,2021-01-17
VOC,Alpha,0.089,2021-01-24,2021-01-24
VOC,Alpha,0.171,2021-01-31,2021-01-31
VOC,Alpha,0.268,2021-02-07,2021-02-07
VOC,Alpha,0.306,2021-02-14,2021-02-14
VOC,Alpha,0.353,2021-02-21,2021-02-21
VOC,Alpha,0.424,2021-02-28,2021-02-28
VOC,Alpha,0.385,2021-03-07,2021-03-07
VOC,Alpha,0.459,2021-03-14,2021-03-14
VOC,Alpha,0.457,2021-03-21,2021-03-21
VOC,Alpha,0.41100000000000003,2021-03-28,2021-03-28
VOC,Alpha,0.361,2021-04-04,2021-04-04
VOC,Alpha,0.47900000000000004,2021-04-11,2021-04-11
VOC,Alpha,0.552,2021-04-18,2021-04-18
VOC,Alpha,0.522,2021-04-25,2021-04-25
VOC,Alpha,0.596,2021-05-02,2021-05-02
VOC,Alpha,0.591,2021-05-09,2021-05-09
VOC,Alpha,0.558,2021-05-16,2021-05-16
VOC,Alpha,0.5740000000000001,2021-05-23,2021-05-23
VOC,Alpha,0.5740000000000001,2021-05-30,2021-05-30
VOC,Alpha,0.522,2021-06-06,2021-06-06
VOC,Alpha,0.437,2021-06-13,2021-06-13
VOC,Alpha,0.422,2021-06-20,2021-06-20
VOC,Alpha,0.263,2021-06-27,2021-06-27
VOC,Alpha,0.202,2021-07-04,2021-07-04
VOC,Alpha,0.111,2021-07-11,2021-07-11
VOC,Alpha,0.069,2021-07-18,2021-07-18
VOC,Alpha,0.045,2021-07-25,2021-07-25
VOC,Alpha,0.023,2021-08-01,2021-08-01
VOC,Alpha,0.019,2021-08-08,2021-08-08
VOC,Alpha,0.009,2021-08-15,2021-08-15
VOC,Alpha,0.004,2021-08-22,2021-08-22
VOC,Alpha,0.006,2021-08-29,2021-08-29
VOC,Alpha,0.004,2021-09-05,2021-09-05
VOC,Alpha,0.001,2021-09-12,2021-09-12
VOC,Alpha,0.003,2021-09-19,2021-09-19
VOC,Alpha,0.001,2021-09-26,2021-09-26
VOC,Alpha,0.001,2021-10-03,2021-10-03
VOC,Alpha,0.001,2021-10-10,2021-10-10
VOC,Alpha,0.0,2021-10-24,2021-10-24
VOC,Alpha,0.0,2020-11-22,2020-11-22
VOC,Alpha,0.0,2021-10-17,2021-10-17
VOC,Alpha,0.0,2021-10-31,2021-10-31
VOC,Alpha,0.0,2021-11-07,2021-11-07
VOC,Alpha,0.0,2021-11-14,2021-11-14
VOC,Alpha,0.0,2020-03-08,2020-03-08
VOC,Alpha,0.0,2020-03-15,2020-03-15
VOC,Alpha,0.0,2020-03-22,2020-03-22
VOC,Alpha,0.0,2020-03-29,2020-03-29
VOC,Alpha,0.0,2020-04-12,2020-04-12
VOC,Alpha,0.0,2020-04-26,2020-04-26
VOC,Alpha,0.0,2020-05-03,2020-05-03
VOC,Alpha,0.0,2020-08-02,2020-08-02
VOC,Alpha,0.0,2020-08-09,2020-08-09
VOC,Alpha,0.0,2020-08-23,2020-08-23
VOC,Alpha,0.0,2019-12-29,2019-12-29
VOC,Alpha,0.0,2020-03-01,2020-03-01
VOC,Alpha,0.0,2020-11-15,2020-11-15
VOC,Alpha,0.0,2020-12-06,2020-12-06
VOC,Alpha,0.0,2020-06-07,2020-06-07
VOC,Alpha,0.0,2020-07-26,2020-07-26
VOC,Alpha,0.0,2020-10-25,2020-10-25
VOC,Alpha,0.0,2020-07-19,2020-07-19
VOC,Alpha,0.0,2020-08-16,2020-08-16
VOC,Alpha,0.0,2020-08-30,2020-08-30
VOC,Alpha,0.0,2020-09-06,2020-09-06
VOC,Alpha,0.0,2020-09-13,2020-09-13
VOC,Alpha,0.0,2020-09-20,2020-09-20
VOC,Alpha,0.0,2020-09-27,2020-09-27
VOC,Alpha,0.0,2020-10-04,2020-10-04
VOC,Alpha,0.0,2020-10-11,2020-10-11
VOC,Alpha,0.0,2020-10-18,2020-10-18
VOC,Alpha,0.0,2020-05-24,2020-05-24
VOC,Alpha,0.0,2020-06-14,2020-06-14
VOC,Alpha,0.0,2020-06-21,2020-06-21
VOC,Alpha,0.0,2020-06-28,2020-06-28
VOC,Alpha,0.0,2020-07-05,2020-07-05
VOC,Alpha,0.0,2020-07-12,2020-07-12
VOC,Alpha,0.0,2020-02-09,2020-02-09
VOC,Alpha,0.0,2020-02-23,2020-02-23
VOC,Beta,0.0,2020-04-05,2020-04-05
VOC,Beta,0.0,2020-04-19,2020-04-19
VOC,Beta,0.0,2020-05-10,2020-05-10
VOC,Beta,0.0,2020-05-17,2020-05-17
VOC,Beta,0.0,2020-05-31,2020-05-31
VOC,Beta,0.0,2020-11-01,2020-11-01
VOC,Beta,0.0,2020-11-08,2020-11-08
VOC,Beta,0.0,2020-11-29,2020-11-29
VOC,Beta,0.001,2020-12-13,2020-12-13
VOC,Beta,0.006,2020-12-20,2020-12-20
VOC,Beta,0.002,2020-12-27,2020-12-27
VOC,Beta,0.007,2021-01-03,2021-01-03
VOC,Beta,0.009,2021-01-10,2021-01-10
VOC,Beta,0.005,2021-01-17,2021-01-17
VOC,Beta,0.007,2021-01-24,2021-01-24
VOC,Beta,0.009,2021-01-31,2021-01-31
VOC,Beta,0.017,2021-02-07,2021-02-07
VOC,Beta,0.011,2021-02-14,2021-02-14
VOC,Beta,0.017,2021-02-21,2021-02-21
VOC,Beta,0.008,2021-02-28,2021-02-28
VOC,Beta,0.009,2021-03-07,2021-03-07
VOC,Beta,0.015,2021-03-14,2021-03-14
VOC,Beta,0.019,2021-03-21,2021-03-21
VOC,Beta,0.02,2021-03-28,2021-03-28
VOC,Beta,0.027000000000000003,2021-04-04,2021-04-04
VOC,Beta,0.017,2021-04-11,2021-04-11
VOC,Beta,0.012,2021-04-18,2021-04-18
VOC,Beta,0.016,2021-04-25,2021-04-25
VOC,Beta,0.009,2021-05-02,2021-05-02
VOC,Beta,0.008,2021-05-09,2021-05-09
VOC,Beta,0.01,2021-05-16,2021-05-16
VOC,Beta,0.006,2021-05-23,2021-05-23
VOC,Beta,0.009,2021-05-30,2021-05-30
VOC,Beta,0.006,2021-06-06,2021-06-06
VOC,Beta,0.004,2021-06-13,2021-06-13
VOC,Beta,0.008,2021-06-20,2021-06-20
VOC,Beta,0.007,2021-06-27,2021-06-27
VOC,Beta,0.005,2021-07-04,2021-07-04
VOC,Beta,0.002,2021-07-11,2021-07-11
VOC,Beta,0.002,2021-07-18,2021-07-18
VOC,Beta,0.001,2021-07-25,2021-07-25
VOC,Beta,0.0,2021-08-01,2021-08-01
VOC,Beta,0.0,2021-08-08,2021-08-08
VOC,Beta,0.0,2021-08-15,2021-08-15
VOC,Beta,0.0,2021-08-22,2021-08-22
VOC,Beta,0.0,2021-08-29,2021-08-29
VOC,Beta,0.0,2021-09-05,2021-09-05
VOC,Beta,0.0,2021-09-12,2021-09-12
VOC,Beta,0.0,2021-09-19,2021-09-19
VOC,Beta,0.0,2021-09-26,2021-09-26
VOC,Beta,0.0,2021-10-03,2021-10-03
VOC,Beta,0.0,2021-10-10,2021-10-10
VOC,Beta,0.0,2021-10-24,2021-10-24
VOC,Beta,0.001,2020-11-22,2020-11-22
VOC,Beta,0.0,2021-10-17,2021-10-17
VOC,Beta,0.0,2021-10-31,2021-10-31
VOC,Beta,0.0,2021-11-07,2021-11-07
VOC,Beta,0.0,2021-11-14,2021-11-14
VOC,Beta,0.0,2020-03-08,2020-03-08
VOC,Beta,0.0,2020-03-15,2020-03-15
VOC,Beta,0.0,2020-03-22,2020-03-22
VOC,Beta,0.0,2020-03-29,2020-03-29
VOC,Beta,0.0,2020-04-12,2020-04-12
VOC,Beta,0.0,2020-04-26,2020-04-26
VOC,Beta,0.0,2020-05-03,2020-05-03
VOC,Beta,0.0,2020-08-02,2020-08-02
VOC,Beta,0.0,2020-08-09,2020-08-09
VOC,Beta,0.0,2020-08-23,2020-08-23
VOC,Beta,0.0,2019-12-29,2019-12-29
VOC,Beta,0.0,2020-03-01,2020-03-01
VOC,Beta,0.0,2020-11-15,2020-11-15
VOC,Beta,0.0,2020-12-06,2020-12-06
VOC,Beta,0.0,2020-06-07,2020-06-07
VOC,Beta,0.0,2020-07-26,2020-07-26
VOC,Beta,0.0,2020-10-25,2020-10-25
VOC,Beta,0.0,2020-07-19,2020-07-19
VOC,Beta,0.0,2020-08-16,2020-08-16
VOC,Beta,0.0,2020-08-30,2020-08-30
VOC,Beta,0.0,2020-09-06,2020-09-06
VOC,Beta,0.0,2020-09-13,2020-09-13
VOC,Beta,0.0,2020-09-20,2020-09-20
VOC,Beta,0.0,2020-09-27,2020-09-27
VOC,Beta,0.0,2020-10-04,2020-10-04
VOC,Beta,0.0,2020-10-11,2020-10-11
VOC,Beta,0.0,2020-10-18,2020-10-18
VOC,Beta,0.0,2020-05-24,2020-05-24
VOC,Beta,0.0,2020-06-14,2020-06-14
VOC,Beta,0.0,2020-06-21,2020-06-21
VOC,Beta,0.0,2020-06-28,2020-06-28
VOC,Beta,0.0,2020-07-05,2020-07-05
VOC,Beta,0.0,2020-07-12,2020-07-12
VOC,Beta,0.0,2020-02-09,2020-02-09
VOC,Beta,0.0,2020-02-23,2020-02-23
VOC,Delta,0.0,2020-04-05,2020-04-05
VOC,Delta,0.0,2020-04-19,2020-04-19
VOC,Delta,0.0,2020-05-10,2020-05-10
VOC,Delta,0.0,2020-05-17,2020-05-17
VOC,Delta,0.0,2020-05-31,2020-05-31
VOC,Delta,0.0,2020-11-01,2020-11-01
VOC,Delta,0.0,2020-11-08,2020-11-08
VOC,Delta,0.0,2020-11-29,2020-11-29
VOC,Delta,0.0,2020-12-13,2020-12-13
VOC,Delta,0.0,2020-12-20,2020-12-20
VOC,Delta,0.0,2020-12-27,2020-12-27
VOC,Delta,0.0,2021-01-03,2021-01-03
VOC,Delta,0.0,2021-01-10,2021-01-10
VOC,Delta,0.0,2021-01-17,2021-01-17
VOC,Delta,0.001,2021-01-24,2021-01-24
VOC,Delta,0.0,2021-01-31,2021-01-31
VOC,Delta,0.0,2021-02-07,2021-02-07
VOC,Delta,0.0,2021-02-14,2021-02-14
VOC,Delta,0.0,2021-02-21,2021-02-21
VOC,Delta,0.0,2021-02-28,2021-02-28
VOC,Delta,0.0,2021-03-07,2021-03-07
VOC,Delta,0.0,2021-03-14,2021-03-14
VOC,Delta,0.001,2021-03-21,2021-03-21
VOC,Delta,0.001,2021-03-28,2021-03-28
VOC,Delta,0.005,2021-04-04,2021-04-04
VOC,Delta,0.016,2021-04-11,2021-04-11
VOC,Delta,0.036,2021-04-18,2021-04-18
VOC,Delta,0.049,2021-04-25,2021-04-25
VOC,Delta,0.051,2021-05-02,2021-05-02
VOC,Delta,0.076,2021-05-09,2021-05-09
VOC,Delta,0.1,2021-05-16,2021-05-16
VOC,Delta,0.131,2021-05-23,2021-05-23
VOC,Delta,0.158,2021-05-30,2021-05-30
VOC,Delta,0.235,2021-06-06,2021-06-06
VOC,Delta,0.353,2021-06-13,2021-06-13
VOC,Delta,0.384,2021-06-20,2021-06-20
VOC,Delta,0.581,2021-06-27,2021-06-27
VOC,Delta,0.648,2021-07-04,2021-07-04
VOC,Delta,0.742,2021-07-11,2021-07-11
VOC,Delta,0.8410000000000001,2021-07-18,2021-07-18
VOC,Delta,0.903,2021-07-25,2021-07-25
VOC,Delta,0.9239999999999999,2021-08-01,2021-08-01
VOC,Delta,0.931,2021-08-08,2021-08-08
VOC,Delta,0.962,2021-08-15,2021-08-15
VOC,Delta,0.9710000000000001,2021-08-22,2021-08-22
VOC,Delta,0.989,2021-08-29,2021-08-29
VOC,Delta,0.9930000000000001,2021-09-05,2021-09-05
VOC,Delta,0.9960000000000001,2021-09-12,2021-09-12
VOC,Delta,0.998,2021-09-19,2021-09-19
VOC,Delta,1.0,2021-09-26,2021-09-26
VOC,Delta,0.997,2021-10-03,2021-10-03
VOC,Delta,0.998,2021-10-10,2021-10-10
VOC,Delta,1.0,2021-10-24,2021-10-24
VOC,Delta,0.0,2020-11-22,2020-11-22
VOC,Delta,0.999,2021-10-17,2021-10-17
VOC,Delta,1.0010000000000001,2021-10-31,2021-10-31
VOC,Delta,1.0,2021-11-07,2021-11-07
VOC,Delta,1.0010000000000001,2021-11-14,2021-11-14
VOC,Delta,0.0,2020-03-08,2020-03-08
VOC,Delta,0.0,2020-03-15,2020-03-15
VOC,Delta,0.0,2020-03-22,2020-03-22
VOC,Delta,0.0,2020-03-29,2020-03-29
VOC,Delta,0.0,2020-04-12,2020-04-12
VOC,Delta,0.0,2020-04-26,2020-04-26
VOC,Delta,0.0,2020-05-03,2020-05-03
VOC,Delta,0.0,2020-08-02,2020-08-02
VOC,Delta,0.0,2020-08-09,2020-08-09
VOC,Delta,0.0,2020-08-23,2020-08-23
VOC,Delta,0.0,2019-12-29,2019-12-29
VOC,Delta,0.0,2020-03-01,2020-03-01
VOC,Delta,0.0,2020-11-15,2020-11-15
VOC,Delta,0.0,2020-12-06,2020-12-06
VOC,Delta,0.0,2020-06-07,2020-06-07
VOC,Delta,0.0,2020-07-26,2020-07-26
VOC,Delta,0.0,2020-10-25,2020-10-25
VOC,Delta,0.0,2020-07-19,2020-07-19
VOC,Delta,0.0,2020-08-16,2020-08-16
VOC,Delta,0.0,2020-08-30,2020-08-30
VOC,Delta,0.0,2020-09-06,2020-09-06
VOC,Delta,0.0,2020-09-13,2020-09-13
VOC,Delta,0.0,2020-09-20,2020-09-20
VOC,Delta,0.0,2020-09-27,2020-09-27
VOC,Delta,0.0,2020-10-04,2020-10-04
VOC,Delta,0.0,2020-10-11,2020-10-11
VOC,Delta,0.0,2020-10-18,2020-10-18
VOC,Delta,0.0,2020-05-24,2020-05-24
VOC,Delta,0.0,2020-06-14,2020-06-14
VOC,Delta,0.0,2020-06-21,2020-06-21
VOC,Delta,0.0,2020-06-28,2020-06-28
VOC,Delta,0.0,2020-07-05,2020-07-05
VOC,Delta,0.0,2020-07-12,2020-07-12
VOC,Delta,0.0,2020-02-09,2020-02-09
VOC,Delta,0.0,2020-02-23,2020-02-23
VOC,Gamma,0.0,2020-04-05,2020-04-05
VOC,Gamma,0.0,2020-04-19,2020-04-19
VOC,Gamma,0.0,2020-05-10,2020-05-10
VOC,Gamma,0.0,2020-05-17,2020-05-17
VOC,Gamma,0.0,2020-05-31,2020-05-31
VOC,Gamma,0.0,2020-11-01,2020-11-01
VOC,Gamma,0.0,2020-11-08,2020-11-08
VOC,Gamma,0.0,2020-11-29,2020-11-29
VOC,Gamma,0.0,2020-12-13,2020-12-13
VOC,Gamma,0.0,2020-12-20,2020-12-20
VOC,Gamma,0.0,2020-12-27,2020-12-27
VOC,Gamma,0.0,2021-01-03,2021-01-03
VOC,Gamma,0.0,2021-01-10,2021-01-10
VOC,Gamma,0.0,2021-01-17,2021-01-17
VOC,Gamma,0.0,2021-01-24,2021-01-24
VOC,Gamma,0.0,2021-01-31,2021-01-31
VOC,Gamma,0.0,2021-02-07,2021-02-07
VOC,Gamma,0.0,2021-02-14,2021-02-14
VOC,Gamma,0.004,2021-02-21,2021-02-21
VOC,Gamma,0.003,2021-02-28,2021-02-28
VOC,Gamma,0.005,2021-03-07,2021-03-07
VOC,Gamma,0.002,2021-03-14,2021-03-14
VOC,Gamma,0.003,2021-03-21,2021-03-21
VOC,Gamma,0.003,2021-03-28,2021-03-28
VOC,Gamma,0.002,2021-04-04,2021-04-04
VOC,Gamma,0.002,2021-04-11,2021-04-11
VOC,Gamma,0.005,2021-04-18,2021-04-18
VOC,Gamma,0.004,2021-04-25,2021-04-25
VOC,Gamma,0.007,2021-05-02,2021-05-02
VOC,Gamma,0.005,2021-05-09,2021-05-09
VOC,Gamma,0.005,2021-05-16,2021-05-16
VOC,Gamma,0.006,2021-05-23,2021-05-23
VOC,Gamma,0.021,2021-05-30,2021-05-30
VOC,Gamma,0.01,2021-06-06,2021-06-06
VOC,Gamma,0.012,2021-06-13,2021-06-13
VOC,Gamma,0.009,2021-06-20,2021-06-20
VOC,Gamma,0.013,2021-06-27,2021-06-27
VOC,Gamma,0.006,2021-07-04,2021-07-04
VOC,Gamma,0.007,2021-07-11,2021-07-11
VOC,Gamma,0.0,2021-07-18,2021-07-18
VOC,Gamma,0.001,2021-07-25,2021-07-25
VOC,Gamma,0.002,2021-08-01,2021-08-01
VOC,Gamma,0.0,2021-08-08,2021-08-08
VOC,Gamma,0.0,2021-08-15,2021-08-15
VOC,Gamma,0.0,2021-08-22,2021-08-22
VOC,Gamma,0.0,2021-08-29,2021-08-29
VOC,Gamma,0.0,2021-09-05,2021-09-05
VOC,Gamma,0.0,2021-09-12,2021-09-12
VOC,Gamma,0.0,2021-09-19,2021-09-19
VOC,Gamma,0.0,2021-09-26,2021-09-26
VOC,Gamma,0.0,2021-10-03,2021-10-03
VOC,Gamma,0.0,2021-10-10,2021-10-10
VOC,Gamma,0.0,2021-10-24,2021-10-24
VOC,Gamma,0.0,2020-11-22,2020-11-22
VOC,Gamma,0.0,2021-10-17,2021-10-17
VOC,Gamma,0.0,2021-10-31,2021-10-31
VOC,Gamma,0.0,2021-11-07,2021-11-07
VOC,Gamma,0.0,2021-11-14,2021-11-14
VOC,Gamma,0.0,2020-03-08,2020-03-08
VOC,Gamma,0.0,2020-03-15,2020-03-15
VOC,Gamma,0.0,2020-03-22,2020-03-22
VOC,Gamma,0.0,2020-03-29,2020-03-29
VOC,Gamma,0.0,2020-04-12,2020-04-12
VOC,Gamma,0.0,2020-04-26,2020-04-26
VOC,Gamma,0.0,2020-05-03,2020-05-03
VOC,Gamma,0.0,2020-08-02,2020-08-02
VOC,Gamma,0.0,2020-08-09,2020-08-09
VOC,Gamma,0.0,2020-08-23,2020-08-23
VOC,Gamma,0.0,2019-12-29,2019-12-29
VOC,Gamma,0.0,2020-03-01,2020-03-01
VOC,Gamma,0.0,2020-11-15,2020-11-15
VOC,Gamma,0.0,2020-12-06,2020-12-06
VOC,Gamma,0.0,2020-06-07,2020-06-07
VOC,Gamma,0.0,2020-07-26,2020-07-26
VOC,Gamma,0.0,2020-10-25,2020-10-25
VOC,Gamma,0.0,2020-07-19,2020-07-19
VOC,Gamma,0.0,2020-08-16,2020-08-16
VOC,Gamma,0.0,2020-08-30,2020-08-30
VOC,Gamma,0.0,2020-09-06,2020-09-06
VOC,Gamma,0.0,2020-09-13,2020-09-13
VOC,Gamma,0.0,2020-09-20,2020-09-20
VOC,Gamma,0.0,2020-09-27,2020-09-27
VOC,Gamma,0.0,2020-10-04,2020-10-04
VOC,Gamma,0.0,2020-10-11,2020-10-11
VOC,Gamma,0.0,2020-10-18,2020-10-18
VOC,Gamma,0.0,2020-05-24,2020-05-24
VOC,Gamma,0.0,2020-06-14,2020-06-14
VOC,Gamma,0.0,2020-06-21,2020-06-21
VOC,Gamma,0.0,2020-06-28,2020-06-28
VOC,Gamma,0.0,2020-07-05,2020-07-05
VOC,Gamma,0.0,2020-07-12,2020-07-12
VOC,Gamma,0.0,2020-02-09,2020-02-09
VOC,Gamma,0.0,2020-02-23,2020-02-23
VOI,B.1.1.318,0.0,2020-04-05,2020-04-05
VOI,B.1.1.318,0.0,2020-04-19,2020-04-19
VOI,B.1.1.318,0.0,2020-05-10,2020-05-10
VOI,B.1.1.318,0.0,2020-05-17,2020-05-17
