date,region,type,cases
2021-03-28,Alberta,alpha,1462
2021-03-28,Alberta,gamma,3
2021-03-28,Alberta,other,2941
2021-03-28,Canada,other,29121
2021-03-28,Canada,alpha,2918
2021-03-28,Canada,gamma,168
2021-03-28,Quebec,alpha,163
2021-03-28,Quebec,gamma,0
2021-03-28,Quebec,other,5809
2021-04-12,Alberta,alpha,4368
2021-04-12,Alberta,gamma,87
2021-04-12,Alberta,other,4389
2021-04-12,Canada,other,38729
2021-04-12,Canada,alpha,17557
2021-04-12,Canada,gamma,355
2021-04-12,Quebec,alpha,6
2021-04-12,Quebec,gamma,0
2021-04-12,Quebec,other,10612
2021-04-26,Alberta,alpha,7301
2021-04-26,Alberta,gamma,540
2021-04-26,Alberta,other,3274
2021-04-26,Canada,other,28167
2021-04-26,Canada,alpha,27027
2021-04-26,Canada,gamma,956
2021-04-26,Quebec,alpha,777
2021-04-26,Quebec,gamma,16
2021-04-26,Quebec,other,6860
2021-05-10,Alberta,alpha,4794
2021-05-10,Alberta,gamma,689
2021-05-10,Alberta,other,7994
2021-05-10,Canada,other,23753
2021-05-10,Canada,alpha,26074
2021-05-10,Canada,gamma,1111
2021-05-10,Quebec,alpha,520
2021-05-10,Quebec,gamma,32
2021-05-10,Quebec,other,5566
2021-05-24,Alberta,alpha,2009
2021-05-24,Alberta,gamma,147
2021-05-24,Alberta,other,2809
2021-05-24,Canada,other,11967
2021-05-24,Canada,alpha,15684
2021-05-24,Canada,gamma,1253
2021-05-24,Quebec,alpha,512
2021-05-24,Quebec,gamma,38
2021-05-24,Quebec,other,3412
2021-06-07,Alberta,alpha,1632
2021-06-07,Alberta,gamma,98
2021-06-07,Alberta,other,80
2021-06-07,Canada,other,0
2021-06-07,Canada,alpha,10853
2021-06-07,Canada,gamma,2113
2021-06-07,Quebec,alpha,201
2021-06-07,Quebec,gamma,7
2021-06-07,Quebec,other,1433
2021-06-21,Alberta,alpha,492
2021-06-21,Alberta,gamma,46
2021-06-21,Alberta,other,303
2021-06-21,Canada,other,112
2021-06-21,Canada,alpha,5132
2021-06-21,Canada,gamma,1051
2021-06-21,Quebec,alpha,44
2021-06-21,Quebec,gamma,8
2021-06-21,Quebec,other,847