date,region,alpha,gamma,other
2021-03-21,Alberta,679,0,2831
2021-03-28,Alberta,1462,3,2941
2021-04-05,Alberta,3230,10,3069
2021-04-12,Alberta,4368,87,4389
2021-04-19,Alberta,5787,66,4295
2021-04-26,Alberta,7301,540,3274
2021-05-03,Alberta,7812,758,5039
2021-05-10,Alberta,4794,689,7994
2021-05-17,Alberta,2385,132,6778
2021-05-24,Alberta,2009,147,2809
2021-05-31,Alberta,1582,97,1183
2021-06-07,Alberta,1632,98,80
2021-06-14,Alberta,833,57,369
2021-06-21,Alberta,492,46,303
2021-06-28,Alberta,120,14,297
2021-03-21,Quebec,191,0,4556
2021-03-28,Quebec,163,0,5809
2021-04-05,Quebec,829,1,7332
2021-04-12,Quebec,6,0,10612
2021-04-19,Quebec,1124,6,8932
2021-04-26,Quebec,777,16,6860
2021-05-03,Quebec,378,17,6586
2021-05-10,Quebec,520,32,5566
2021-05-17,Quebec,1008,189,3854
2021-05-24,Quebec,512,38,3412
2021-05-31,Quebec,671,148,1691
2021-06-07,Quebec,201,7,1433
2021-06-14,Quebec,168,41,943
2021-06-21,Quebec,44,8,847
2021-06-28,Quebec,94,6,549